mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.0218813419342041,0.0004905786567295134,0.0013145605723063152,3.1288496152606847e-06,0.8,0.1,6,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
0.03756562868754069,0.0026020963406571864,0.002276817957560221,0.0010857617401864572,0.8,0.1,6,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
0.02743689219156901,0.0007316136187989907,0.0013481775919596355,2.91419510268501e-05,0.8,0.1,6,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
0.03281505902608236,0.0014550035270525592,0.0017426013946533203,0.0002903550690588895,0.8,0.1,6,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
0.036464691162109375,0.003864344717739682,0.0013810793558756511,1.5414866937766135e-05,0.8,0.1,10,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
0.04856085777282715,0.007952150226340007,0.00496681531270345,0.004906179012782769,0.8,0.1,10,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
0.03815833727518717,0.014511990289178482,0.0013786156972249348,3.7054641634313357e-05,0.8,0.1,10,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
0.051150878270467125,0.004138524382302296,0.002229770024617513,0.0010410576187778028,0.8,0.1,10,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
0.020285924275716145,0.003170060398221415,0.004545768102010091,0.002242420469651874,0.8,0.3,6,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
0.040796756744384766,0.0047917365830118675,0.002629359563191732,0.0009512350026056736,0.8,0.3,6,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
